1	1
2	1
3	2
4	2
5	5
6	5
7	5
8	5
9	5
10	7
11	8
12	8
13	11
14	11
15	11
16	11
17	11
18	11
19	11
20	11
21	12
22	12
23	13
24	13
25	13
26	13
27	13
28	13
29	13
30	13
31	15
32	15
33	15
34	15
35	15
36	15
37	16
38	16
39	24
40	30
41	53
42	80
43	98
44	164
45	214
46	279
47	423
48	647
49	937
50	1215
51	1629
52	1896
53	2234
54	3487
55	4226
56	7038
57	10442
58	15219
59	18747
60	24583
61	33404
62	44183
63	54453
64	68440
65	85356
66	103321
67	122653
68	140904
69	163539
70	186101
71	213144
72	239279
73	277205
74	304826
75	330891
76	374329
77	395011
78	427460
79	459165
80	492416
81	525704
82	554849
83	579005
84	605390
85	632548
86	661712
87	690714
88	720630
89	746625
90	776093
91	802583
92	828441
93	865585
94	895766
95	928619
