1,0.571
2,0.714
3,0.714
4,0.857
5,0.857
6,0.429
7,0.857
8,0.857
9,0.714
10,0.857
11,0.571
12,0.571
13,0.571
14,0.143
15,0.286
16,0.286
17,0.286
18,0.286
19,0.286
20,0.286
21,0.286
22,0.143
23,0.143
24,0
25,0.286
26,0.286
27,0.286
28,0.286
29,0.286
30,0.286
31,0.429
32,0.143
33,1.286
34,2.286
35,5.571
36,8.286
37,13
38,23.857
39,31.429
40,54
41,69.571
42,77
43,101.143
44,148.571
45,200.286
46,283.143
47,367.857
48,384.714
49,583.571
50,818.571
51,1146
52,1725.286
53,2544.429
54,3292.429
55,4533.143
56,5916.714
57,7171.714
58,8524.571
59,10428.429
60,12174.714
61,14484.571
62,15514.286
63,17086
64,19337.857
65,22100
66,24138.286
67,26083
68,27472.571
69,29346.143
70,30714
71,31240.286
72,31185.429
73,31688.571
74,31993.571
75,31562.429
76,31163.714
77,30494.143
78,30249.143
79,29470.857
80,28622
81,28401.429
82,28214
83,28098.286
84,28524.571
85,28178.429
86,28715
87,29101.857
88,28980
89,29480.571
90,29551.857
91,28780.857
92,28568.571
93,28171.286
94,27697.857
95,28173.714
96,27636.571
97,27314.143
98,27207.143
99,27134.571
100,26830.857
101,26607.571
102,25475.286
103,25081.714
104,24343.714
105,23655
106,23554.714
107,22909.571
108,22691.286
109,22339
110,22278.714
111,22229.714
112,22734.143
113,22351.286
114,22723.571
115,22639.143
116,22501
117,21933.571
118,22191.857
119,21667.714
120,21400.429
121,20878.286
122,20262.143
123,20451.714
124,20877.714
125,20607.143
126,20370.429
127,20731.857
128,20786.857
129,21784.429
130,21945.714
131,21546
132,21468
133,21419.143
134,21287.286
135,21623
136,20769.857
137,20686.429
138,21219.429
139,21412.286
140,21988
141,22614
142,23381
143,24195.429
144,25022
145,26131.571
146,27106.286
147,28334.714
148,30285.714
149,31618.857
150,33237
151,35805.429
152,37152.571
153,39487.857
154,41217.714
155,42797
156,44675.857
157,46886.714
158,47235.286
159,47904
160,49519.857
