1	0
2	2
3	44
4	21
5	19
6	65
7	0
8	0
9	259
10	224
11	0
12	291
13	277
14	414
15	36
16	0
17	1822
18	3551
19	3355
20	4777
21	0
22	0
23	16354
24	20341
25	0
26	16420
27	0
28	16894
29	18093
30	19332
31	17987
32	22559
33	24103
34	26298
35	28103
36	32105
37	33510
38	26493
39	29510
40	31709
41	30859
42	35386
43	31606
44	31633
45	29308
46	24446
47	25802
48	28711
49	32549
50	30023
51	28252
52	27668
53	25634
54	24019
55	29127
56	30719
57	38509
58	32417
59	29218
60	22541
61	20517
62	31379
63	31774
64	26753
65	31839
66	29266
67	16200
68	22267
69	22119
70	30303
71	-99
72	25870
73	26642
74	23767
75	18044
76	21424
77	20840
78	27090
79	22813
80	31967
81	13227
82	24417
