# Created by Octave 4.2.2, Sun May 31 15:08:05 2020 PDT <jordan@WCLaptop>
# name: conversion_results
# type: matrix
# rows: 28
# columns: 2
 0.2 2.21
 0.2 2.21
 0.2 2.25
 0.2 2.17
 0.19 2.63
 0.2 2.31
 0.21 2.24
 0.2 2.32
 0.2 2.27
 0.2 2.28
 0.19 2.43
 0.19 2.63
 0.2 2.28
 0.2 2.24
 0.2 2.3
 0.19 2.86
 0.2 2.36
 0.2 2.23
 0.2 2.19
 0.19 2.25
 0.2 2.25
 0.2 2.36
 0.2 2.39
 0.2 2.27
 0.2 2.27
 0.2 2.31
 0.2 2.22
 0.2 2.23


